# source_file	model_id	output_stem	source_dir
攻击.mp4	BASIC_ATTACK	basic_attack	其他
防御.mp4	BASIC_DEFENSE	basic_defense	其他
蓄力攻击.mp4	CHARGED_ATTACK	charged_attack	其他
反击.mp4	GUARD_COUNTER	guard_counter	其他
唤起风暴.mp4	STORMCALLER	stormcaller	普通
黄金树坠落震击.mp4	ERDTREE_SHOCK	erdtree_shock	普通
拳套打击.mp4	CAESTUS_STRIKE	caestus_strike	普通
盾牌冲击.mp4	SHIELD_CRASH	shield_crash	普通
致命一击.mp4	FATAL_STRIKE	fatal_strike	普通
特大跳劈.mp4	GIANT_HUNT	giant_hunt	普通
卡利亚迅剑.mp4	CARIAN_SLICER	carian_slicer	普通
箭步-上砍.mp4	STAMP_UPPERCUT	stamp_uppercut	普通
火焰啊，净化.mp4	FLAME_PURIFY	flame_purify	普通
休战.mp4	TRUCE	truce	普通
恫吓.mp4	INTIMIDATION	intimidation	普通
轻装上阵.mp4	TRAVEL_LIGHT	travel_light	普通
决心.mp4	DETERMINATION	determination	普通
岩石剑.mp4	ROCK_BLADE	rock_blade	普通
寻找.mp4	SEARCH	search	普通
腐败.mp4	SCARLET_COST	scarlet_cost	普通
夸耀咆哮.mp4	BATTLE_CRY	battle_cry	普通
准备架势.mp4	READY_STANCE	ready_stance	罕见1
祈祷一击.mp4	PRAYER_STRIKE	prayer_strike	罕见1
荷莱露的撼地.mp4	HOULOU_GROUND_SLAM	houlou_ground_slam	罕见1
卡利亚贯刺.mp4	CARIAN_PIERCER	carian_piercer	罕见1
帚星.mp4	COMET_SHARD	comet_shard	罕见1
黑夜彗星.mp4	NIGHT_COMET	night_comet	罕见1
爆散结晶.mp4	CRYSTAL_BURST	crystal_burst	罕见1
罗蕾塔的大弓.mp4	LORETTAS_GREATBOW	lorettas_greatbow	罕见1
古老死亡怨魂.mp4	ANCIENT_DEATHS_RANCOR	ancient_deaths_rancor	罕见1
卡利亚奉还.mp4	CARIAN_RETRIBUTION	carian_retribution	罕见1
狮子斩.mp4	LION_CLAW	lion_claw	罕见1
图腾碑石.mp4	TOTEM_TABLET	totem_tablet	稀有
掠夺之火.mp4	PLUNDERING_FIRE	plundering_fire	稀有
好运.mp4	GOOD_LUCK	good_luck	稀有
别急，等我启动.mp4	WAIT_FOR_ME_TO_START	wait_for_me_to_start	稀有
彗星亚兹勒.mp4	COMET_AZUR	comet_azur	稀有
猩红诱惑.mp4	SCARLET_TEMPTATION	scarlet_temptation	稀有
魔法之境.mp4	MAGIC_REALM	magic_realm	稀有
好胜心1.mp4	WILL_TO_WIN	will_to_win	稀有
好胜心2.mp4	WILL_TO_WIN	will_to_win_alt	稀有
岩石球.mp4	ROCK_BALL	rock_ball	罕见2
鲜血征收.mp4	BLOOD_LEVY	blood_levy	罕见2
游刃有余.mp4	EASY_HANDLING	easy_handling	罕见2
忍耐.mp4	ENDURE	endure	罕见2
杰克的酒.mp4	JACK_WINE	jack_wine	罕见2
卸力.mp4	UNBURDEN	unburden	罕见2
赊账.mp4	SCARLET_CREDIT	scarlet_credit	罕见2
深具睿智.mp4	PROFOUND_WISDOM	profound_wisdom	罕见2
巨剑阵.mp4	GLINTBLADE_PHALANX	glintblade_phalanx	罕见2
余火.mp4	EMBER	ember	罕见2
腐败力量.mp4	CORRUPTION_STRENGTH	corruption_strength	罕见2
腐败感知.mp4	CORRUPTION_SENSE	corruption_sense	罕见2
乘胜追击.mp4	VICTORY_RUSH	victory_rush	罕见2
双刺毒花.mp4	TWIN_STING_POISON_FLOWER	twin_sting_poison_flower	补充1
回归性原理.mp4	RETURN_PRINCIPLE	return_principle	补充1
垃圾王的庇佑.mp4	GARBAGE_KING_BLESSING	garbage_king_blessing	补充1
切腹.mp4	SEPPUKU	seppuku	补充2
商店.mp4	MERCHANT_SCREEN	merchant_screen	补充2
大块崩裂辉石.mp4	GLINTSTONE_CHUNK	glintstone_chunk	补充2
孤注一掷.mp4	ALL_IN	all_in	补充2
破潮如势.mp4	BREAKING_MOMENTUM	breaking_momentum	补充2
责罚荆棘.mp4	PUNISHING_THORNS	punishing_thorns	补充2
喝药.mp4	ELEMENT_FLASK	element_flask	补充3
人物.mp4	CHARACTER	character_pose	动作
坐下.mp4	REST_SITE	rest_site_sit	动作
鲜血斩击.mp4	BLOOD_SLASH	blood_slash	assets/补充4
冻霜踏地.mp4	HOARFROST_STOMP	hoarfrost_stomp	assets/补充4
旋飞魔砾.mp4	SPIRAL_GLINTSTONE	spiral_glintstone	assets/补充4
潜雾猛禽.mp4	RAPTOR_OF_MISTS	raptor_of_mists	assets/补充4
萨米尔冰风暴.mp4	ZAMOR_ICE_STORM	zamor_ice_storm	assets/补充4
蕾娜菈的满月.mp4	RENNALAS_FULL_MOON	rennalas_full_moon	assets/补充4
亚杜拉的月光剑.mp4	ADULAS_MOONBLADE	adulas_moonblade	assets/补充4
创星雨.mp4	STAR_SHOWER	star_shower	assets/补充4
他们为什么打架.mp4	WHY_ARE_THEY_FIGHTING	why_are_they_fighting	assets/补充4
他们为什么打架2.mp4	WHY_ARE_THEY_FIGHTING	why_are_they_fighting_alt	assets/补充4
黑焰仪式.mp4	BLACK_FLAME_RITUAL	black_flame_ritual	assets/补充5
此路不通.mp4	THIS_ROAD_IS_BLOCKED	this_road_is_blocked	assets/补充5
突刺反击.mp4	PIERCING_COUNTER	piercing_counter	assets/补充5
豪赌.mp4	GAMBLE	gamble	assets/补充5
腐败共鸣.mp4	CORRUPTION_RESONANCE	corruption_resonance	assets/补充5
暗夜光剑.mp4	DARK_MOON_GREAT_SWORD	dark_moon_great_sword	assets/补充5
内在潜力.mp4	INNER_POTENTIAL	inner_potential	assets/补充5
